Ticker,period,close,perc_change,close_wig,perc_change_wig,Assets,Number of shares,Market_value
11B,30/09/2012,8.74,-0.06,43739.81,0.07,6384000,"2,217,199",19378319.26
11B,30/06/2012,9.32,-0.1,40810.88,-0.01,3428000,"1,911,699",17817034.68
11B,31/03/2012,10.3,0.06,41267.16,0.1,3473000,"1,911,699",19690499.7
11B,31/12/2011,9.8,0.38,37595.44,-0.02,2986000,"1,870,761",18333457.8
11B,30/09/2011,7.1,-0.53,38268.75,-0.21,2141000,"1,870,761",13282403.1
11B,30/06/2011,15,-0.36,48414.36,-0.01,1659000,"1,870,761",28061415
11B,31/03/2011,23.5,2.1,48729.83,0.03,1342000,"1,870,761",43962883.5
1AT,31/12/2021,46.1,-0.06,69296.26,-0.01,3123554000,"38,714,610",1784743521
1AT,30/09/2021,49.1,0,70340.86,0.06,2846132000,"38,714,610",1900887351
1AT,30/06/2021,49,0.27,66067.21,0.14,2901476000,"38,714,610",1897015890
1AT,31/03/2021,38.6,0.26,58081.5,0.02,2808958000,"38,714,610",1494383946
1AT,31/12/2020,30.7,0,57025.84,0.15,2766968000,"38,714,610",1188538527
1AT,30/09/2020,30.7,0.04,49411.53,0,2905186000,"38,714,610",1188538527
1AT,30/06/2020,29.4,0.2,49569.17,0.19,2680263000,"38,714,610",1138209534
1AT,31/03/2020,24.6,-0.31,41624.62,-0.28,2566512000,"38,714,610",952379406
1AT,31/12/2019,35.8,0.09,57832.88,0.01,2385573000,"38,714,610",1385983038
1AT,30/09/2019,33,-0.05,57320.3,-0.05,2504022000,"38,714,610",1277582130
1AT,30/06/2019,34.9,0.04,60187.43,0.01,2302548000,"38,714,610",1351139889
1AT,31/03/2019,33.4,0.43,59668.03,0.03,2105609000,"38,714,610",1293067974
1AT,31/12/2018,23.4,-0.13,57690.5,-0.02,1883504000,"38,714,610",905921874
1AT,30/09/2018,26.7,-0.06,58974.76,0.05,1827327000,"38,714,610",1033680087
1AT,30/06/2018,28.6,-0.13,55954.44,-0.04,1939522000,"38,714,610",1107237846
1AT,31/03/2018,32.8,0.01,58377.42,-0.08,1849413000,"38,714,610",1269839208
1AT,31/12/2017,32.6,-0.02,63746.2,-0.01,1832097000,"38,714,610",1262096286
1AT,30/09/2017,33.1,0.14,64289.69,0.05,1716138000,"38,714,610",1281453591
1AT,30/06/2017,29,0.22,61018.36,0.05,1772208000,"38,714,610",1122723690
1AT,31/03/2017,23.9,0.14,57911.31,0.12,1735542000,"38,714,610",925279179
1AT,31/12/2016,20.9,0.09,51754.03,0.1,1588456000,"38,714,610",809135349
1AT,30/09/2016,19.1,0.09,47084.94,0.05,1474518000,"38,714,610",739449051
1AT,30/06/2016,17.5,0.17,44748.53,-0.09,1474733000,"38,714,610",677505675
1AT,31/03/2016,15,-0.02,49017.35,0.05,1384637000,"38,714,610",580719150
1AT,31/12/2015,15.3,-0.01,46467.38,-0.07,1268937000,"38,714,610",592333533
1AT,30/09/2015,15.5,0.04,49824.59,-0.07,1162637000,"38,714,610",600076455
4FM,30/09/2021,6.46,0.09,70340.86,0.06,23698000,"4,238,962",27383694.52
4FM,30/06/2021,5.94,-0.31,66067.21,0.14,24439000,"4,238,962",25179434.28
4FM,31/03/2021,8.6,0.89,58081.5,0.02,25684000,"4,238,962",36455073.2
4FM,31/12/2020,4.56,0.01,57025.84,0.15,26499000,"4,238,962",19329666.72
4FM,30/09/2020,4.5,-0.05,49411.53,0,30932000,"4,238,962",19075329
4FM,30/06/2020,4.75,0.22,49569.17,0.19,31731000,"4,238,962",20135069.5
4FM,31/03/2020,3.89,-0.27,41624.62,-0.28,37739000,"4,238,962",16489562.18
4FM,31/12/2019,5.3,-0.21,57832.88,0.01,36166000,"4,238,962",22466498.6
4FM,30/09/2019,6.68,-0.19,57320.3,-0.05,44493000,"4,238,962",28316266.16
4FM,30/06/2019,8.28,-0.26,60187.43,0.01,44318000,"4,238,962",35098605.36
