No,open,high,low,close,perc_change,abs_change,vol,Ticker,period
52,0.950,1.450,0.850,1.000,-4.76%,-0.050,"739,769",CCE,30-09-2012
51,1.450,1.450,0.900,1.050,-27.59%,-0.400,"477,727",CCE,30-06-2012
50,1.300,1.750,1.200,1.450,+16.00%,+0.200,"821,544",CCE,31-03-2012
49,1.300,1.900,1.150,1.250,-7.41%,-0.100,"1,339,095",CCE,31-12-2011
48,2.150,2.200,1.200,1.350,-35.71%,-0.750,"1,420,830",CCE,30-09-2011
47,3.750,3.850,1.950,2.100,-44.00%,-1.650,"2,665,580",CCE,30-06-2011
46,3.950,5.950,3.600,3.750,-5.06%,-0.200,"6,287,204",CCE,31-03-2011
45,6.950,7.000,3.550,3.950,-43.17%,-3.000,"5,795,814",CCE,31-12-2010
44,8.600,11.150,5.600,6.950,-19.65%,-1.700,"15,850,563",CCE,30-09-2010
43,2.500,11.750,2.450,8.650,+246.00%,+6.150,"9,249,547",CCE,30-06-2010
42,2.200,2.950,2.150,2.500,+13.64%,+0.300,"894,393",CCE,31-03-2010
41,2.900,3.000,2.050,2.200,-25.42%,-0.750,"578,159",CCE,31-12-2009
40,3.250,3.350,2.700,2.950,-9.23%,-0.300,"1,214,268",CCE,30-09-2009
39,2.150,3.450,2.150,3.250,+51.16%,+1.100,"2,358,247",CCE,30-06-2009
38,2.200,2.850,1.450,2.150,+4.88%,+0.100,"1,518,153",CCE,31-03-2009
37,3.550,3.800,2.050,2.050,-46.05%,-1.750,"495,159",CCE,31-12-2008
36,5.500,6.000,3.500,3.800,-31.53%,-1.750,"110,777",CCE,30-09-2008
35,11.550,12.500,5.200,5.550,-50.88%,-5.750,"331,893",CCE,30-06-2008
34,13.600,15.500,9.550,11.300,-14.39%,-1.900,"670,396",CCE,31-03-2008
33,14.400,23.450,10.000,13.200,-7.69%,-1.100,"1,565,215",CCE,31-12-2007
32,24.000,24.850,12.400,14.300,-42.45%,-10.550,"2,437,804",CCE,30-09-2007
31,24.000,51.100,18.500,24.850,+7.34%,+1.700,"1,209,221",CCE,30-06-2007
30,7.200,28.300,7.200,23.150,+221.53%,+15.950,"612,114",CCE,31-03-2007
29,2.500,13.650,2.500,7.200,+188.00%,+4.700,"377,758",CCE,31-12-2006
28,1.900,2.550,1.900,2.500,+38.89%,+0.700,"77,311",CCE,30-09-2006
27,2.950,2.950,1.700,1.800,-44.62%,-1.450,"54,479",CCE,30-06-2006
26,3.250,3.400,1.900,3.250,+14.04%,+0.400,"167,385",CCE,31-03-2006
25,1.200,3.500,1.050,2.850,+137.50%,+1.650,"93,744",CCE,31-12-2005
24,2.150,2.400,1.200,1.200,-50.00%,-1.200,"74,378",CCE,30-09-2005
23,2.900,3.250,1.950,2.400,-22.58%,-0.700,"20,228",CCE,30-06-2005
22,2.000,4.300,1.900,3.100,+82.35%,+1.400,"23,730",CCE,31-03-2005
21,3.150,3.250,1.550,1.700,-50.72%,-1.750,"22,348",CCE,31-12-2004
20,3.450,8.750,2.950,3.450,+9.52%,+0.300,"47,669",CCE,30-09-2004
19,2.550,5.150,2.150,3.150,+21.15%,+0.550,"94,140",CCE,30-06-2004
18,2.550,3.100,2.400,2.600,+8.33%,+0.200,"63,142",CCE,31-03-2004
17,2.550,2.900,1.400,2.400,-5.88%,-0.150,"79,517",CCE,31-12-2003
16,2.450,3.450,2.250,2.550,-7.27%,-0.200,"109,593",CCE,30-09-2003
15,1.700,3.350,1.350,2.750,+61.76%,+1.050,"60,624",CCE,30-06-2003
14,1.550,1.700,0.950,1.700,+54.55%,+0.600,"114,028",CCE,31-03-2003
13,0.850,1.350,0.700,1.100,+57.14%,+0.400,"60,189",CCE,31-12-2002
12,1.150,1.400,0.500,0.700,-41.67%,-0.500,"14,308",CCE,30-09-2002
11,1.650,1.900,0.850,1.200,-36.84%,-0.700,"29,603",CCE,30-06-2002
10,0.800,2.750,0.700,1.900,+280.00%,+1.400,"194,842",CCE,31-03-2002
9,0.850,1.050,0.500,0.500,-50.00%,-0.500,"99,956",CCE,31-12-2001
8,1.400,1.400,0.700,1.000,-25.93%,-0.350,"48,017",CCE,30-09-2001
7,1.800,2.550,1.200,1.350,-28.95%,-0.550,"30,709",CCE,30-06-2001
6,5.250,5.550,1.700,1.900,-66.37%,-3.750,"117,914",CCE,31-03-2001
5,7.700,8.550,5.150,5.650,-26.14%,-2.000,"89,153",CCE,31-12-2000
