No,open,high,low,close,perc_change,abs_change,vol,period
46,14077.20,14272.10,12436.80,12797.30,-9.83%,-1395.60,"401,161,311",30-09-2002
45,14997.90,15845.60,14102.90,14192.90,-5.55%,-833.50,"359,880,812",30-06-2002
44,13876.00,16423.30,13842.30,15026.40,+7.93%,+1104.20,"444,067,158",31-03-2002
43,11842.10,14725.70,11523.20,13922.20,+17.09%,+2031.60,"478,491,838",31-12-2001
42,13915.70,13955.50,11464.80,11890.60,-14.73%,-2054.80,"279,033,608",30-09-2001
41,14616.90,15791.60,13847.30,13945.40,-5.13%,-753.50,"290,523,163",30-06-2001
40,17567.90,17959.20,13848.80,14698.90,-17.64%,-3148.70,"362,524,250",31-03-2001
39,16733.30,18252.80,14929.30,17847.60,+5.72%,+965.00,"350,205,441",31-12-2000
38,19536.60,20047.70,16776.30,16882.60,-14.05%,-2760.10,"248,982,524",30-09-2000
37,21783.80,21783.80,18356.70,19642.70,-7.59%,-1613.20,"264,651,734",30-06-2000
36,18981.70,22868.40,17694.40,21255.90,+17.54%,+3172.30,"628,622,552",31-03-2000
35,14382.10,18370.00,14174.50,18083.60,+26.82%,+3824.20,"410,413,906",31-12-1999
34,17323.10,17645.90,14259.40,14259.40,-15.25%,-2565.70,"310,213,639",30-09-1999
33,14220.70,17046.40,14220.70,16825.10,+19.06%,+2693.80,"422,624,414",30-06-1999
32,13218.10,14709.70,12591.10,14131.30,+10.44%,+1335.70,"601,059,864",31-03-1999
31,11413.00,13220.20,10473.70,12795.60,+4.55%,+557.30,"358,787,336",31-12-1998
30,15904.40,17774.30,10883.70,12238.30,-22.19%,-3490.30,"354,754,392",30-09-1998
29,17038.70,18035.10,14551.00,15728.60,-6.73%,-1135.40,"288,864,523",30-06-1998
28,14886.20,18582.70,13228.80,16864.00,+14.97%,+2196.00,"341,387,851",31-03-1998
27,17534.40,18112.10,13619.80,14668.00,-16.10%,-2814.80,"219,794,270",31-12-1997
26,15087.90,18016.20,14913.50,17482.80,+15.29%,+2319.00,"211,157,798",30-09-1997
25,16103.00,17016.30,15147.70,15163.80,-9.15%,-1526.60,"226,882,241",30-06-1997
24,14423.80,18339.40,14421.60,16690.40,+16.37%,+2347.60,"285,659,059",31-03-1997
23,14753.60,15078.70,12873.30,14342.80,-2.72%,-401.20,"162,839,891",31-12-1996
22,13781.40,14832.70,12336.80,14744.00,+7.55%,+1035.30,"174,399,008",30-09-1996
21,11489.70,13861.90,11416.80,13708.70,+20.48%,+2330.20,"256,037,108",30-06-1996
20,7725.20,12042.30,7725.20,11378.50,+50.00%,+3792.60,"311,635,800",31-03-1996
19,8749.00,8749.00,7455.20,7585.90,-13.41%,-1175.20,"114,235,095",31-12-1995
18,8755.30,9370.10,8300.50,8761.10,+0.69%,+59.80,"138,296,043",30-09-1995
17,6166.80,9396.90,6166.80,8701.30,+40.89%,+2525.40,"213,384,755",30-06-1995
16,7674.40,7964.90,5904.70,6175.90,-17.36%,-1297.20,"120,423,860",31-03-1995
15,9456.30,9911.60,6716.20,7473.10,-18.64%,-1712.20,"150,898,024",31-12-1994
14,8019.00,12507.00,8019.00,9185.30,+17.87%,+1392.80,"150,300,157",30-09-1994
13,13785.00,14014.00,7215.20,7792.50,-46.39%,-6743.50,"132,217,373",30-06-1994
12,13044.80,20760.00,13044.80,14536.00,+16.86%,+2097.00,"218,228,438",31-03-1994
11,6541.60,12818.10,6541.60,12439.00,+97.38%,+6136.80,"170,448,695",31-12-1993
10,3677.50,7560.90,3677.50,6302.20,+79.85%,+2798.10,"164,254,285",30-09-1993
9,1293.20,3783.70,1293.20,3504.10,+168.95%,+2201.20,"101,530,773",30-06-1993
8,1037.00,1302.90,1037.00,1302.90,+25.21%,+262.30,"37,319,134",31-03-1993
7,938.00,1070.90,877.10,1040.60,+14.09%,+128.50,"32,839,022",31-12-1992
6,791.90,912.10,791.90,912.10,+26.07%,+188.60,"28,356,043",30-09-1992
5,878.30,878.30,635.30,723.50,-17.99%,-158.70,"14,618,489",30-06-1992
4,974.90,974.90,882.20,882.20,-4.01%,-36.90,"3,732,864",31-03-1992
3,678.50,1001.90,678.50,919.10,+35.16%,+239.10,"1,185,420",31-12-1991
2,891.20,891.20,680.00,680.00,-20.02%,-170.20,"567,426",30-09-1991
1,1000.00,1000.00,850.20,850.20,"175,285",,,30-06-1991
